year,canton,canton_short,convictions,total_convicted,male,female,14_and_younger,15_years_old,16_years_old,17_years_old,swiss_nationals,foreigners_b_c_ci_permit,other_foreigners,total_foreigners
2020,Switzerland,CH,8061,7410,5764,1646,1941,1336,1600,2533,4399,2164,847,3011
2020,Aargau,AG,561,538,412,126,134,94,126,184,299,199,40,239
2020,Appenzell Innerrhoden,AI,1,1,0,0,0,0,0,0,0,0,0,0
2020,Appenzell Ausserhoden,AR,60,59,41,18,15,13,13,18,38,19,2,21
2020,Bern,BE,1150,1001,723,278,274,186,223,318,620,252,129,381
2020,Basel-Landschaft,BL,298,288,201,87,70,51,65,102,199,81,8,89
2020,Basel-Stadt,BS,297,277,212,65,98,37,52,90,111,74,92,166
2020,Friburg,FR,145,139,110,29,25,29,39,46,85,46,8,54
2020,Geneva,GE,469,428,376,52,81,84,80,183,194,103,131,234
2020,Glarus,GL,31,24,16,8,6,7,6,5,11,12,1,13
2020,Graubunden,GR,82,80,63,17,10,14,19,37,45,28,7,35
2020,Jura,JU,118,115,85,30,24,17,32,42,73,32,10,42
2020,Lucerne,LU,356,302,223,79,89,60,51,102,198,79,25,104
2020,Neuchatel,NE,243,215,193,22,53,20,39,103,115,58,42,100
2020,Nidwalden,NW,23,21,18,3,8,5,6,2,12,8,1,9
2020,Obwalden,OB,37,34,24,10,12,9,4,9,22,11,1,12
2020,St. Gallen,ST,422,396,314,82,92,77,85,142,220,133,43,176
2020,Schaffausen,SH,58,56,45,11,15,12,9,20,26,30,0,30
2020,Solothurn,SO,254,235,177,58,74,48,49,64,144,77,14,91
2020,Schwyz,SZ,91,83,63,20,21,13,20,29,52,23,8,31
2020,Thurgau,TG,204,201,164,37,61,41,36,63,116,78,7,85
2020,Ticino,TI,235,229,182,47,50,38,69,72,136,60,33,93
2020,Uri,UR,1,1,0,0,0,0,0,0,0,0,0,0
2020,Vaud,VD,874,818,688,130,208,128,192,290,448,236,134,370
2020,Valais,VS,297,271,226,45,75,43,53,100,155,80,36,116
2020,Zug,ZG,136,128,96,32,25,26,33,44,67,60,1,61
2020,Zurich,ZH,1618,1539,1172,367,427,299,320,493,1019,390,130,520
2021,Switzerland,CH,8579,7893,5990,1903,2193,1419,1681,2600,4793,2263,837,3100
2021,Aargau,AG,631,611,457,154,167,112,144,188,366,212,33,245
2021,Appenzell Innerrhoden,AI,2,2,2,0,0,0,0,2,0,2,0,2
2021,Appenzell Ausserhoden,AR,33,33,29,4,10,5,10,8,23,10,0,10
2021,Bern,BE,1225,1093,780,313,320,189,238,346,693,278,122,400
2021,Basel-Landschaft,BL,326,307,235,72,87,51,77,92,188,83,36,119
2021,Basel-Stadt,BS,396,357,251,106,105,63,82,107,139,80,138,218
2021,Friburg,FR,249,231,186,45,38,45,54,94,135,75,21,96
2021,Geneva,GE,509,473,390,83,93,81,115,184,258,105,110,215
2021,Glarus,GL,48,40,30,10,13,5,9,13,22,14,4,18
2021,Graubunden,GR,123,118,92,26,35,26,26,31,78,33,7,40
2021,Jura,JU,71,70,50,20,14,9,15,32,49,13,8,21
2021,Lucerne,LU,321,297,216,81,94,51,64,88,191,82,24,106
2021,Neuchatel,NE,216,202,163,39,52,35,43,72,124,45,33,78
2021,Nidwalden,NW,32,31,25,6,9,3,7,12,23,8,0,8
2021,Obwalden,OB,26,24,20,4,10,4,5,5,13,10,1,11
2021,St. Gallen,ST,419,387,303,84,113,78,71,125,204,147,36,183
2021,Schaffausen,SH,60,56,46,10,11,8,11,26,34,18,4,22
2021,Solothurn,SO,269,236,171,65,75,55,40,66,131,95,10,105
2021,Schwyz,SZ,89,81,62,19,23,19,10,29,50,26,5,31
2021,Thurgau,TG,237,232,190,42,41,41,57,93,123,92,17,109
2021,Ticino,TI,210,201,175,26,50,28,42,81,115,52,34,86
2021,Uri,UR,12,12,7,5,5,1,1,5,6,6,0,6
2021,Vaud,VD,941,849,710,139,198,144,179,328,506,243,100,343
2021,Valais,VS,312,279,229,50,84,50,56,89,169,93,17,110
2021,Zug,ZG,110,102,67,35,32,25,21,24,53,45,4,49
2021,Zurich,ZH,1712,1629,1158,471,518,301,327,483,1105,400,124,524
